# ct=2 Nx=38
# x_cm y_cm T_keV E_over_aTkeV4 aluminum
0.7499999999999999 1.15 0.0101900553449678 7.485007768445428e-05 1
0.7499999999999999 1.25 0.01013590672769426 2.488564572553854e-05 1
0.7499999999999999 1.35 0.0100619975032435 1.18699366111246e-05 1
0.7499999999999999 1.45 0.01003816032255554 6.376357421654972e-06 1
0.7499999999999999 1.55 0.01000528624080544 6.419424967613505e-06 0
0.7499999999999999 1.65 0.0100025732643806 3.744600209954427e-06 0
0.7499999999999999 1.75 0.01000675881710989 9.752508312191046e-06 0
0.7499999999999999 1.85 0.01000326544216947 2.113541440487021e-05 0
0.7499999999999999 1.95 0.010015729500641 2.793257769341572e-05 0
0.7499999999999999 2.05 0.0100049299844548 3.303735668467601e-05 0
0.7499999999999999 2.15 0.01000013583975758 5.15669781532286e-09 0
0.7499999999999999 2.25 0.009999630129876497 6.205620505841294e-09 0
0.7499999999999999 2.35 0.009999983735767732 4.633018664906775e-09 0
0.7499999999999999 2.45 0.01000012193494073 1.187519761320867e-08 0
0.7499999999999999 2.55 0.009999850684416462 1.427071489980117e-08 0
0.7499999999999999 2.65 0.0100003171334221 7.470665251945057e-09 0
0.7499999999999999 2.75 0.009999887411798487 1.470833080277216e-08 0
0.7499999999999999 2.85 0.009999816597244266 1.204784299189617e-08 0
0.7499999999999999 2.95 0.010000107359066 1.131520448680633e-08 0
0.7499999999999999 3.05 0.009999477453544476 8.652751334039926e-09 0
0.7499999999999999 3.15 0.01000021145374732 1.342623158775705e-08 0
0.7499999999999999 3.25 0.009999965180260379 5.166854495352327e-09 0
0.7499999999999999 3.35 0.01000020909137036 1.529699127521402e-08 0
0.7499999999999999 3.45 0.00999981444135813 3.263005580847634e-09 0
0.7499999999999999 3.55 0.01000004262308054 2.333695833790186e-09 0
0.7499999999999999 3.65 0.01000003434276011 6.287485832253447e-09 0
0.7499999999999999 3.75 0.01000006306313196 1.015733352041912e-08 0
0.85 0.05 0.0167164400811944 0.004325088774942488 0
0.85 0.15 0.01650800346345821 0.004177701185926274 0
0.85 0.25 0.01629986611621131 0.004259910335007874 0
0.85 0.35 0.01552744222117967 0.00336672172442943 0
0.85 0.45 0.01477048453603593 0.002992371464480894 0
0.85 0.5499999999999999 0.02867999615117933 0.001205306625699333 1
0.85 0.6499999999999999 0.01219073045984069 0.0001943112015511257 1
0.85 0.7499999999999999 0.01073922076282213 6.600835945688541e-05 1
0.85 0.85 0.01034384582310844 5.242250385509155e-05 1
0.85 0.95 0.01017966266280762 1.681228845735146e-05 1
0.85 1.05 0.01008736892341537 1.866712525847426e-05 1
0.85 1.15 0.01007355455116659 1.042175800449033e-05 1
0.85 1.25 0.01003513005500221 1.34224166994529e-05 1
0.85 1.35 0.01002845621367908 1.691820706451808e-05 1
0.85 1.45 0.01001205311680365 9.616380356418225e-07 1
0.85 1.55 0.01000255233839255 1.148922754727992e-06 0
0.85 1.65 0.01000258500361241 6.398155865903268e-06 0
0.85 1.75 0.01000020322243302 6.71620090669068e-06 0
0.85 1.85 0.01000064807685121 2.211215569305383e-06 0
0.85 1.95 0.01000030566814004 1.407086831534235e-07 0
0.85 2.05 0.01000028256998732 1.141491470824773e-08 0
0.85 2.15 0.01000003937128881 5.29324736682437e-09 0
0.85 2.25 0.009999993659324819 4.516966543240838e-08 0
0.85 2.35 0.01000000763454935 5.764889058354193e-09 0
0.85 2.45 0.01000017689323997 3.09055182223134e-09 0
0.85 2.55 0.01000009973151407 1.036851304850141e-08 0
0.85 2.65 0.00999996628377588 5.162153506900652e-09 0
0.85 2.75 0.01000006934547017 1.363975451723954e-08 0
0.85 2.85 0.01000017583234993 1.031488635419633e-08 0
0.85 2.95 0.009999830227862678 1.145406145300326e-08 0
0.85 3.05 0.00999995289850077 6.704447818333526e-09 0
0.85 3.15 0.01000006827015256 1.93534194456316e-09 0
0.85 3.25 0.009999876891719457 8.387963102329872e-09 0
0.85 3.35 0.009999689100759785 6.711971469215958e-09 0
0.85 3.45 0.01000013414660885 1.104963561882328e-08 0
0.85 3.55 0.01000018815719685 9.547109083126036e-09 0
0.85 3.65 0.01000021932675978 8.656979919234444e-09 0
0.85 3.75 0.009999842027209955 6.938144999744428e-09 0
0.95 0.05 0.01491644148827751 0.002947557420666144 0
0.95 0.15 0.01498266732060841 0.003716927563191781 0
0.95 0.25 0.0148188837662346 0.00305200863038412 0
0.95 0.35 0.01417479160525654 0.003426991863407983 0
0.95 0.45 0.0141225934903737 0.002149205760947017 0
0.95 0.5499999999999999 0.02446883771799722 0.0009306361872215659 1
0.95 0.6499999999999999 0.01129831235987238 0.0001158870887673003 1
0.95 0.7499999999999999 0.01040268384961268 5.721063227107127e-05 1
0.95 0.85 0.01017122858321469 2.518690067916889e-05 1
0.95 0.95 0.0100742603163409 1.414563273897919e-05 1
0.95 1.05 0.01005746059157937 3.272878042207312e-06 1
0.95 1.15 0.01002557423797211 2.262539164785029e-06 1
0.95 1.25 0.01001563209710154 7.433111795617084e-07 1
0.95 1.35 0.01001208188673586 7.244478545449974e-06 1
0.95 1.45 0.01000360129907264 1.548674542024196e-06 1
0.95 1.55 0.01000088781821575 3.184770443157345e-06 0
0.95 1.65 0.01000074595910107 1.740140326913722e-06 0
0.95 1.75 0.0100014856382812 9.570397236645805e-07 0
0.95 1.85 0.0100000375225774 2.029864552532501e-07 0
