# ct=2.5 Nx=38
# x_cm y_cm T_keV E_over_aTkeV4 aluminum
0.6499999999999999 1.25 0.01076067015395646 0.0001325388160705524 1
0.6499999999999999 1.35 0.01050504555551164 3.951698124056868e-05 1
0.6499999999999999 1.45 0.0103552425758695 5.139283591907643e-05 1
0.6499999999999999 1.55 0.01009641898653915 4.228794165875845e-05 0
0.6499999999999999 1.65 0.0101188952222775 0.000138750040080044 0
0.6499999999999999 1.75 0.01017815663427552 0.0001732759191951904 0
0.6499999999999999 1.85 0.0102049982911904 0.0001550896123067947 0
0.6499999999999999 1.95 0.0101567106653175 0.0002596969951961197 0
0.6499999999999999 2.05 0.01012521400689481 0.0003037813781784 0
0.6499999999999999 2.15 0.01008424350014585 0.0002137797151698149 0
0.6499999999999999 2.25 0.0100760431478411 0.000270766585509632 0
0.6499999999999999 2.35 0.01003929561374104 8.897133877618961e-05 0
0.6499999999999999 2.45 0.01001374025655777 9.7962053007267e-05 0
0.6499999999999999 2.55 0.01000829038901031 9.044552420964369e-05 0
0.6499999999999999 2.65 0.01000237689619667 7.673829078831248e-05 0
0.6499999999999999 2.75 0.01000090089730023 1.620331633433057e-08 0
0.6499999999999999 2.85 0.01000082536412762 7.898598456909045e-06 0
0.6499999999999999 2.95 0.010000169813584 1.674798862432279e-08 0
0.6499999999999999 3.05 0.0100000956743115 1.916044399101603e-08 0
0.6499999999999999 3.15 0.01000014107340221 5.775809480316869e-09 0
0.6499999999999999 3.25 0.009999753852668509 1.65758901822391e-09 0
0.6499999999999999 3.35 0.00999981676220742 1.905778398101667e-08 0
0.6499999999999999 3.45 0.01000015571386883 1.112590061006276e-08 0
0.6499999999999999 3.55 0.01000013910970367 2.901062450947437e-09 0
0.6499999999999999 3.65 0.01000000560171145 1.612180353756105e-08 0
0.6499999999999999 3.75 0.0100000467776701 6.821169218383343e-09 0
0.7499999999999999 0.05 0.0217815408905041 0.006607856489130645 0
0.7499999999999999 0.15 0.02163237278911682 0.005560435276077282 0
0.7499999999999999 0.25 0.02074620087732675 0.005536895213343436 0
0.7499999999999999 0.35 0.01985804051390398 0.006321266691900606 0
0.7499999999999999 0.45 0.01862247789896093 0.004108801587098484 0
0.7499999999999999 0.5499999999999999 0.04428391410548653 0.001685826200071361 1
0.7499999999999999 0.6499999999999999 0.01714635469836221 0.0003770151408035251 1
0.7499999999999999 0.7499999999999999 0.01264271537588761 0.000353897478240796 1
0.7499999999999999 0.85 0.01136030373009965 6.094327025603991e-05 1
0.7499999999999999 0.95 0.01080979163630834 8.523773690428908e-05 1
0.7499999999999999 1.05 0.01056805228031621 1.525362677911514e-05 1
0.7499999999999999 1.15 0.01038919767074749 3.575690852949046e-05 1
0.7499999999999999 1.25 0.0102770000648323 2.865120755269488e-05 1
0.7499999999999999 1.35 0.01013294681271448 1.865911453881934e-05 1
0.7499999999999999 1.45 0.0101042082283951 9.957977184059952e-06 1
0.7499999999999999 1.55 0.0100133033272668 5.59866398367434e-06 0
0.7499999999999999 1.65 0.0100213476608536 1.323584951404726e-05 0
0.7499999999999999 1.75 0.01004426854417825 0.000109445903584007 0
0.7499999999999999 1.85 0.01005209401678594 6.528504306259048e-05 0
0.7499999999999999 1.95 0.01007242542545989 0.000198139928681502 0
0.7499999999999999 2.05 0.01008259245926673 6.669673751618397e-05 0
0.7499999999999999 2.15 0.01004575371524349 0.0001658496254287406 0
0.7499999999999999 2.25 0.01001489751850626 0.0001648439183896601 0
0.7499999999999999 2.35 0.01000971545681451 1.947092481995088e-05 0
0.7499999999999999 2.45 0.01001962286652668 7.404675469449601e-05 0
0.7499999999999999 2.55 0.01000940743308888 2.127886953224275e-05 0
0.7499999999999999 2.65 0.01000493136683346 2.442097582001568e-05 0
0.7499999999999999 2.75 0.01000104833546502 1.149143076317503e-08 0
