# tau=10 epsilon=1 Xmax=40 Nx=128
# X u_radiation v_material T_material_over_Tbath
28.28125 5.021536269102474e-25 4.986888685615783e-25 8.403446094762161e-07
28.59375 5.376899891141631e-25 4.942886962205503e-25 8.38484752789175e-07
28.90625 4.516581145143506e-25 4.977611637196893e-25 8.399535158241527e-07
29.21875 5.261210594663467e-25 4.902065377764657e-25 8.367481768373329e-07
29.53125 4.566863028361175e-25 4.833637064947814e-25 8.338127074079862e-07
29.84375 5.04909167448706e-25 5.096428458746648e-25 8.449217367044156e-07
30.15625 5.225143702046093e-25 5.150836922675167e-25 8.471678189811936e-07
30.46875 5.246315811643028e-25 5.224408475104297e-25 8.501768621582952e-07
30.78125 5.287046659448411e-25 5.238415033979908e-25 8.507461179424844e-07
31.09375 4.975713757824695e-25 5.098712599064424e-25 8.450163910071544e-07
31.40625 5.257834233091491e-25 5.119908117978668e-25 8.458932156718733e-07
31.71875 5.043893815062544e-25 5.235453446380345e-25 8.506258480953834e-07
32.03125 5.552192496612866e-25 4.832538580514079e-25 8.337653306430841e-07
32.34375 5.250700498495602e-25 5.228984307119351e-25 8.503629592749405e-07
32.65625 5.215207614066847e-25 5.244496476065623e-25 8.50992925055983e-07
32.96875 5.290365678045078e-25 4.956590007990149e-25 8.39065277363925e-07
33.28125 5.060103375453621e-25 5.029167035558779e-25 8.421200645129558e-07
33.59375 5.118735212294847e-25 4.980354400718456e-25 8.400691997176125e-07
33.90625 4.386859081281831e-25 5.136134187623277e-25 8.465626241773724e-07
34.21875 5.031763002254613e-25 5.191960749959676e-25 8.488537081172533e-07
34.53125 4.760144710146429e-25 4.982226474751632e-25 8.401481323584488e-07
34.84375 5.221888347638511e-25 4.936329696326308e-25 8.382065295142671e-07
35.15625 5.172342162770342e-25 4.816989815195011e-25 8.330938568079885e-07
35.46875 4.715426081355958e-25 4.860853248435459e-25 8.349839496914423e-07
35.78125 4.759547459401308e-25 4.777159691689792e-25 8.313663453584001e-07
36.09375 5.448349133949522e-25 4.931240445955997e-25 8.379904026855742e-07
36.40625 4.935026933323028e-25 4.931377479804202e-25 8.379962243370561e-07
36.71875 4.085449186438285e-25 4.655624190196543e-25 8.260274486132589e-07
37.03125 4.535160240184063e-25 4.969097448705755e-25 8.395941007618889e-07
37.34375 5.555296984647307e-25 5.136529437400932e-25 8.465789104552026e-07
37.65625 4.817319791216084e-25 5.04764678526775e-25 8.428925965233781e-07
37.96875 4.842076104922882e-25 5.053395327347336e-25 8.431324773930339e-07
38.28125 5.047588094969435e-25 4.896097616985256e-25 8.364933967678351e-07
38.59375 5.462420894184793e-25 4.865827233556971e-25 8.351974721320283e-07
38.90625 4.76764625731156e-25 4.919355821279247e-25 8.374850422653546e-07
39.21875 4.559054013011239e-25 4.774325732382488e-25 8.312430198439551e-07
39.53125 4.842343313944884e-25 5.029934739044051e-25 8.421522001280196e-07
39.84375 5.500372426731217e-25 5.253954480094406e-25 8.513763392261062e-07
