# Crooked-pipe probe temperatures, Steinberg & Heizler 2022 Fig. 8
# Probes (r, z_axis=x): P1 (0, 0.25), P2 (0, 2.75), P3 (1.25, 3.5), P4 (0, 4.25), P5 (0, 6.75) cm
# t_ns, cycle, T1_keV, T2_keV, T3_keV, T4_keV, T5_keV
190.572, 229, 0.461058, 0.288662, 0.142308, 0.0735869, 0.045436
191.572, 230, 0.458694, 0.288164, 0.141628, 0.0734472, 0.045423
192.572, 231, 0.458927, 0.291423, 0.142275, 0.0735037, 0.045502
193.572, 232, 0.461687, 0.290991, 0.141364, 0.0739004, 0.0455861
194.572, 233, 0.458476, 0.291456, 0.141568, 0.0741284, 0.0456693
195.572, 234, 0.459646, 0.291482, 0.141637, 0.074125, 0.0456576
196.572, 235, 0.456907, 0.28871, 0.141657, 0.074433, 0.0457489
197.572, 236, 0.462271, 0.295358, 0.143007, 0.0744365, 0.0456958
198.572, 237, 0.455544, 0.292711, 0.143185, 0.0747592, 0.0457017
199.572, 238, 0.460627, 0.292279, 0.143664, 0.0746679, 0.045765
200.572, 239, 0.467835, 0.289725, 0.14305, 0.0746815, 0.0457593
201.572, 240, 0.464773, 0.29264, 0.14416, 0.0746615, 0.0457293
202.572, 241, 0.462564, 0.286708, 0.14378, 0.0746388, 0.0456984
203.572, 242, 0.463925, 0.287782, 0.143685, 0.0751439, 0.0456394
204.572, 243, 0.454993, 0.297679, 0.146239, 0.0752905, 0.0456958
205.572, 244, 0.459787, 0.290458, 0.145804, 0.0759281, 0.0457002
206.572, 245, 0.458308, 0.288833, 0.145803, 0.0768491, 0.0456902
207.572, 246, 0.460696, 0.290064, 0.145583, 0.0767542, 0.0455799
208.572, 247, 0.461604, 0.292518, 0.145945, 0.0771458, 0.0455317
209.572, 248, 0.462526, 0.293773, 0.144623, 0.0777514, 0.0456017
210.572, 249, 0.463853, 0.291714, 0.145708, 0.078329, 0.0455236
211.572, 250, 0.463414, 0.289504, 0.14486, 0.0784594, 0.0455473
212.572, 251, 0.465137, 0.298182, 0.147486, 0.0791265, 0.0455732
213.572, 252, 0.458377, 0.293398, 0.147264, 0.0797383, 0.04552
214.572, 253, 0.462179, 0.295017, 0.147859, 0.0801484, 0.0454789
215.572, 254, 0.464903, 0.289647, 0.147167, 0.0807048, 0.0454536
216.572, 255, 0.457345, 0.291426, 0.14691, 0.0810082, 0.0455091
217.572, 256, 0.464052, 0.291983, 0.146626, 0.081247, 0.0454897
218.572, 257, 0.460663, 0.287392, 0.147502, 0.0811532, 0.0454382
219.572, 258, 0.457438, 0.289901, 0.148181, 0.0813123, 0.0455521
220.572, 259, 0.459363, 0.300902, 0.149295, 0.0816224, 0.0455024
221.572, 260, 0.46086, 0.296561, 0.148222, 0.0825482, 0.0455356
222.572, 261, 0.466473, 0.299894, 0.148335, 0.0824876, 0.0454866
223.572, 262, 0.461277, 0.28917, 0.149753, 0.0826063, 0.0455102
224.572, 263, 0.458978, 0.29506, 0.148977, 0.0821775, 0.0455133
225.572, 264, 0.462575, 0.304603, 0.148451, 0.0826906, 0.0456104
226.572, 265, 0.459827, 0.292508, 0.150132, 0.0822268, 0.0457181
227.572, 266, 0.461122, 0.294775, 0.150188, 0.0826436, 0.0457614
228.572, 267, 0.46197, 0.295775, 0.150565, 0.0826543, 0.0457898
229.572, 268, 0.462785, 0.294183, 0.149023, 0.0833214, 0.045904
230.572, 269, 0.457087, 0.295058, 0.149687, 0.0841743, 0.0458779
231.572, 270, 0.45113, 0.290564, 0.149027, 0.0844973, 0.0459165
232.572, 271, 0.448847, 0.294637, 0.149668, 0.0844894, 0.0458941
233.572, 272, 0.457137, 0.289597, 0.150771, 0.0845487, 0.0459038
234.572, 273, 0.462961, 0.297916, 0.151531, 0.0849209, 0.0459418
235.572, 274, 0.471295, 0.292184, 0.151597, 0.0854599, 0.0459036
236.572, 275, 0.460534, 0.297262, 0.151296, 0.0853443, 0.0459647
237.572, 276, 0.459945, 0.291137, 0.150793, 0.0855888, 0.0459319
238.572, 277, 0.459684, 0.290742, 0.151687, 0.085842, 0.0457914
239.572, 278, 0.459998, 0.293953, 0.151723, 0.0861203, 0.045974
240.572, 279, 0.457242, 0.294593, 0.151633, 0.0862137, 0.0459424
241.572, 280, 0.459363, 0.296214, 0.151936, 0.0864488, 0.0459521
242.572, 281, 0.467281, 0.292366, 0.152121, 0.0866309, 0.0460605
243.572, 282, 0.462527, 0.299661, 0.152667, 0.0864835, 0.0459963
244.572, 283, 0.469688, 0.298186, 0.154196, 0.0869323, 0.0460714
245.572, 284, 0.47018, 0.292421, 0.153368, 0.0880204, 0.0459697
246.572, 285, 0.457189, 0.304509, 0.153409, 0.0883843, 0.0458863
247.572, 286, 0.462199, 0.297441, 0.155496, 0.0888161, 0.045848
248.572, 287, 0.470526, 0.297332, 0.153753, 0.0883979, 0.0458236
249.572, 288, 0.463152, 0.294456, 0.154022, 0.0882832, 0.0458419
250.572, 289, 0.455239, 0.298733, 0.154444, 0.0887914, 0.0457821
251.572, 290, 0.468704, 0.294422, 0.155412, 0.0890907, 0.0457097
252.572, 291, 0.462761, 0.295195, 0.155516, 0.0895449, 0.0456486
253.572, 292, 0.462991, 0.296664, 0.15409, 0.0899332, 0.0455106
254.572, 293, 0.464906, 0.298142, 0.154519, 0.0897857, 0.04551
255.572, 294, 0.462676, 0.296702, 0.154648, 0.0895187, 0.0455274
256.572, 295, 0.463224, 0.293255, 0.154199, 0.0897634, 0.0455865
257.572, 296, 0.458527, 0.297216, 0.154091, 0.090355, 0.0455389
258.572, 297, 0.465133, 0.296701, 0.155396, 0.0914124, 0.0456616
259.572, 298, 0.457396, 0.295287, 0.155712, 0.0913743, 0.0457254
260.572, 299, 0.458807, 0.291178, 0.155239, 0.0919969, 0.045764
261.572, 300, 0.461452, 0.294643, 0.15476, 0.0923648, 0.0457028
262.572, 301, 0.457421, 0.296112, 0.155768, 0.0924034, 0.0457714
263.572, 302, 0.453831, 0.296373, 0.155935, 0.0921302, 0.0457653
264.572, 303, 0.463895, 0.297767, 0.1577, 0.0924235, 0.0458172
265.572, 304, 0.470552, 0.293319, 0.157658, 0.0923526, 0.045836
266.572, 305, 0.459464, 0.299043, 0.157891, 0.0925285, 0.0459445
267.572, 306, 0.45371, 0.295643, 0.158887, 0.0929283, 0.0459505
268.572, 307, 0.463099, 0.299371, 0.159737, 0.092561, 0.046117
269.572, 308, 0.462617, 0.296064, 0.159785, 0.0926657, 0.0461106
270.572, 309, 0.459357, 0.297724, 0.158065, 0.0930064, 0.0460278
271.572, 310, 0.45953, 0.295616, 0.158816, 0.0936874, 0.0460185
272.572, 311, 0.46148, 0.295536, 0.159825, 0.0939756, 0.0460179
273.572, 312, 0.453412, 0.295438, 0.159165, 0.0943874, 0.0460736
274.572, 313, 0.462628, 0.297259, 0.158723, 0.094077, 0.046029
275.572, 314, 0.457383, 0.294961, 0.159495, 0.0949028, 0.0460453
276.572, 315, 0.466071, 0.302794, 0.160271, 0.0950814, 0.0460111
277.572, 316, 0.463799, 0.299861, 0.158575, 0.0949194, 0.0459757
278.572, 317, 0.467296, 0.300448, 0.157499, 0.0950672, 0.0459213
279.572, 318, 0.460801, 0.298554, 0.159311, 0.0954295, 0.0458892
280.572, 319, 0.462133, 0.295982, 0.160236, 0.0956068, 0.0458726
281.572, 320, 0.462751, 0.297052, 0.161213, 0.0949251, 0.0459681
282.572, 321, 0.467724, 0.298039, 0.161932, 0.0952211, 0.0459726
283.572, 322, 0.463966, 0.30522, 0.161033, 0.0959508, 0.0459929
284.572, 323, 0.468873, 0.300108, 0.161172, 0.09594, 0.04589
285.572, 324, 0.455279, 0.299627, 0.161867, 0.0957266, 0.0458763
286.572, 325, 0.453954, 0.298115, 0.16063, 0.0956775, 0.0458964
287.572, 326, 0.466256, 0.300959, 0.161036, 0.0963669, 0.0458629
288.572, 327, 0.466318, 0.300176, 0.16059, 0.09616, 0.0457976
289.572, 328, 0.46721, 0.298855, 0.161342, 0.0967599, 0.0458655
290.572, 329, 0.463239, 0.296262, 0.1616, 0.0968578, 0.0459483
291.572, 330, 0.458888, 0.29581, 0.162007, 0.0969455, 0.0460244
292.572, 331, 0.456825, 0.295369, 0.161763, 0.0977339, 0.0459065
293.572, 332, 0.458889, 0.298365, 0.162269, 0.0975124, 0.0459785
294.572, 333, 0.462742, 0.299796, 0.161541, 0.0979299, 0.0459102
295.572, 334, 0.469603, 0.296807, 0.161397, 0.0982492, 0.0459137
