# Digitized from Steinberg & Heizler 2022, ApJS 258, 14 (arXiv:2108.13453) Fig. 8(a)
# Crooked-pipe material temperature vs time (Gentile 2001).
# Probes: P1 (r=0,z=0.25), P2 (0,2.75), P3 (1.25,3.5), P4 (0,4.25), P5 (0,6.75) cm
# t_ns, T1_keV, T2_keV, T3_keV, T4_keV, T5_keV
# t_ns,T1_keV,T2_keV,T3_keV,T4_keV,T5_keV
4.6684524,0.44982866,0.2302907,0.050311751,0.049895121,0.049669599
4.8051203,0.45059501,0.23179872,0.050370619,0.049897379,0.049670446
4.9457891,0.45138379,0.23335088,0.05043121,0.049899704,0.049671317
5.0905759,0.45214796,0.23494849,0.050493574,0.049902096,0.049672215
5.2396014,0.45279553,0.23659286,0.050557765,0.049904558,0.049673138
5.3929895,0.45305359,0.23828538,0.050623834,0.049907093,0.049674088
5.550868,0.45311249,0.24002744,0.050711866,0.049909702,0.049675067
5.7133684,0.45317311,0.2418205,0.0510493,0.049912387,0.049676073
5.880626,0.4532355,0.24366605,0.05146121,0.04991515,0.04967711
6.05278,0.45329973,0.24538067,0.051954789,0.049917995,0.049678177
6.2299737,0.45336583,0.24699651,0.052462817,0.049920923,0.049679274
6.4123548,0.45343387,0.24784469,0.052985718,0.049923937,0.049680405
6.600075,0.45350389,0.24869111,0.053523926,0.049927038,0.049681568
6.7932907,0.45357597,0.24956231,0.054091452,0.049930231,0.049682765
6.9921628,0.45365016,0.25045902,0.054685357,0.049933517,0.049683997
7.1968567,0.45372652,0.25138197,0.05532769,0.049936899,0.049685265
7.4075431,0.45380512,0.25233194,0.055988827,0.049940381,0.049686571
7.6243972,0.45388602,0.25330973,0.056669318,0.049943964,0.049687914
7.8475997,0.45396928,0.25431613,0.057369731,0.049947652,0.049689297
8.0773364,0.45405499,0.255352,0.058242881,0.049951448,0.049690721
8.3137986,0.4541432,0.2564182,0.059432223,0.049955355,0.049692186
8.5571831,0.454234,0.25751561,0.060853234,0.049959377,0.049693694
8.8076927,0.45432745,0.25842793,0.062380343,0.049963516,0.049695246
9.0655359,0.45442364,0.25928921,0.063952157,0.049967777,0.049696844
9.3309274,0.45452517,0.2600648,0.065681141,0.049972162,0.049698488
9.6040882,0.45463157,0.26086309,0.067544565,0.049976675,0.049700181
9.8852457,0.45477723,0.26168475,0.069902561,0.049981321,0.049701923
10.174634,0.4549278,0.26253047,0.072337543,0.049986103,0.049703716
10.472494,0.45508279,0.26340094,0.074843809,0.049994639,0.049705562
10.779074,0.45524231,0.2642969,0.077423446,0.050031357,0.049707461
11.094629,0.4554065,0.26521908,0.080078601,0.050098688,0.049709417
11.419422,0.4555755,0.26616827,0.082811485,0.050195112,0.049711429
11.753723,0.45574945,0.26714524,0.085624373,0.050294359,0.0497135
12.09781,0.45592848,0.26815081,0.088514336,0.050396511,0.049715632
12.451971,0.45611276,0.26918581,0.091294861,0.050501654,0.049717827
12.816499,0.45630244,0.27025112,0.094104351,0.050609874,0.049720085
13.1917,0.45649766,0.27134207,0.096927188,0.050721263,0.04972241
13.577884,0.4566986,0.27246037,0.099832663,0.050835913,0.049724803
13.975373,0.45690543,0.27322271,0.1028232,0.050953919,0.049727266
14.384499,0.45711831,0.27399186,0.10590127,0.051075379,0.049729801
14.805602,0.45733742,0.27478352,0.10888099,0.051237353,0.04973241
15.239032,0.45756294,0.27559836,0.1118055,0.051518731,0.049735096
15.685152,0.45779507,0.27643706,0.11422067,0.051991262,0.04973786
16.144331,0.45803399,0.27730031,0.11670654,0.052477626,0.049740705
16.616953,0.45827991,0.27818882,0.11926519,0.052978229,0.049743634
17.10341,0.45853303,0.27910335,0.12189874,0.053493486,0.049746648
17.604108,0.45879355,0.28004466,0.12452033,0.054023828,0.04974975
18.119465,0.45906171,0.28101351,0.12700559,0.054569695,0.049752943
18.649908,0.45934028,0.28201074,0.12923404,0.055131543,0.04975623
19.19588,0.45962959,0.28303715,0.13138892,0.055823817,0.049759613
19.757835,0.45993892,0.28409362,0.13360688,0.056688806,0.049763095
20.336241,0.46025731,0.28518101,0.13588977,0.057627332,0.049766679
20.93158,0.46058503,0.28630023,0.1382395,0.058602635,0.049770368
21.544347,0.46092233,0.28745222,0.1404666,0.05960649,0.049774164
22.175053,0.46126951,0.28863793,0.14256457,0.061064396,0.049778072
22.824222,0.46162686,0.28985836,0.14437194,0.062794594,0.049782095
23.492396,0.46199466,0.29111451,0.14623222,0.064655251,0.049786235
24.180131,0.46237324,0.29176916,0.14814696,0.066570378,0.049790496
24.887999,0.46276289,0.29233364,0.15011776,0.06854157,0.049794882
25.616589,0.46316395,0.29283275,0.15214625,0.070920287,0.049799397
26.366509,0.46357676,0.29334647,0.15423413,0.073623012,0.049804043
27.138383,0.46400165,0.29387524,0.15638312,0.076913149,0.049808826
27.932853,0.46443897,0.29441948,0.15847416,0.080218024,0.049815739
28.75058,0.4648891,0.29497965,0.16043171,0.083533689,0.049880017
29.592247,0.46535241,0.29555622,0.1620677,0.086533712,0.049980241
30.458553,0.46582928,0.29614967,0.16365266,0.08962156,0.050128197
31.350221,0.46632011,0.2967605,0.16528402,0.092799804,0.050280485
32.267991,0.46682531,0.2973892,0.16696315,0.09642412,0.050437231
33.212629,0.4673453,0.29803631,0.16869142,0.10033273,0.050598566
34.184921,0.46788051,0.29870237,0.1704703,0.10465566,0.050764624
35.185677,0.46843139,0.29938792,0.17230124,0.10824605,0.050935543
36.21573,0.46899839,0.30009354,0.17418579,0.1114681,0.051111465
37.275937,0.469582,0.30081982,0.17579653,0.1138055,0.051300304
38.367182,0.47018269,0.30156737,0.17738219,0.11621134,0.051504607
39.490372,0.47080097,0.30232458,0.17898813,0.1186876,0.051778882
40.646444,0.47099288,0.30308711,0.18064108,0.12123635,0.052073218
41.836359,0.47095368,0.30361476,0.18234243,0.12384732,0.05237617
43.061109,0.47088802,0.30410632,0.18409358,0.12651435,0.052687991
44.321713,0.47082043,0.30461226,0.185896,0.12925211,0.053008941
45.619221,0.47075087,0.30513302,0.18775118,0.13206804,0.053339286
